client_id,symbol,shares,avg_cost
CLIENT001,SPY,721152,553.32
CLIENT001,KO,2154700,77.52
CLIENT001,C,2225376,83.36
CLIENT001,JPM,2292934,119.14
CLIENT001,AAPL,570309,191.33
CLIENT001,PG,1036198,167.78
CLIENT001,TLT,1306012,71.86
CLIENT001,PEP,1346381,148.92
CLIENT001,ETH-USD,12369,4585.83
CLIENT001,BTC-USD,1872,44058.35
CLIENT001,USO,450524,63.11
CLIENT001,GOOGL,27436,2320.88
CLIENT001,VNQ,1088274,107.3
CLIENT001,SLV,1927988,27.37
CLIENT001,TSLA,83785,240.84
CLIENT001,QQQ,56643,388.27
CLIENT001,GLD,474603,227.21
CLIENT001,AMZN,10233,3059.63
CLIENT001,IEF,9065565,73.43
CLIENT002,MSFT,369102,333.89
CLIENT002,VTI,804131,320.24
CLIENT002,KO,3094585,58.68
CLIENT002,JPM,294410,195.98
CLIENT002,C,3929385,33.02
CLIENT002,WFC,2632946,62.39
CLIENT002,SPY,211187,444.02
CLIENT002,NVDA,112736,662.96
CLIENT002,QQQ,305680,282.75
CLIENT002,TSLA,301082,352.92
CLIENT002,BTC-USD,378,73328.68
CLIENT002,IWM,285339,215.08
CLIENT002,USO,384282,90.06
CLIENT002,AAPL,208090,160.12
CLIENT002,JNJ,56690,213.48
CLIENT002,GOOGL,218041,2180.99
CLIENT003,PEP,341178,142.4
CLIENT003,IWM,815282,275.19
CLIENT003,TSLA,457283,207.68
CLIENT003,AMZN,44622,3034.53
CLIENT003,WFC,1633978,57.39
CLIENT003,IEF,666065,130.33
CLIENT003,GOOGL,18623,3141.69
CLIENT003,MSFT,189409,415.34
CLIENT003,TLT,1369615,78.36
CLIENT003,AAPL,151587,235.4
CLIENT003,NVDA,110991,404.6
CLIENT003,PG,404570,164.02
CLIENT003,BTC-USD,806,66289.46
CLIENT003,GLD,124223,220.14
CLIENT003,SLV,1464004,28.79
CLIENT003,JPM,149547,202.84
CLIENT003,VTI,51728,323.17
CLIENT003,QQQ,142761,452.47
CLIENT003,JNJ,178981,199.91
CLIENT003,USO,197854,83.16
CLIENT003,SPY,42994,584.79
CLIENT003,ETH-USD,6203,5380.63
CLIENT003,BAC,5162803,50.23
CLIENT004,WFC,2618430,56.61
CLIENT004,PEP,433456,176.52
CLIENT004,JNJ,545769,195.15
CLIENT004,IWM,573012,239.65
CLIENT004,NVDA,121248,990.72
CLIENT004,GLD,623016,187.09
CLIENT004,SLV,3463349,25.29
CLIENT004,MSFT,213521,346.56
CLIENT004,PG,363030,157.62
CLIENT004,GOOGL,6164,3489.59
CLIENT004,USO,781699,91.68
CLIENT004,TLT,398279,141.48
CLIENT004,VTI,133099,226.99
CLIENT004,VNQ,255097,86.75
CLIENT004,AMZN,3448,2592.51
CLIENT004,AAPL,41383,187.4
CLIENT004,JPM,296411,115.28
CLIENT004,ETH-USD,11404,2959.18
CLIENT004,C,907888,37.08
CLIENT004,SPY,21866,363.88
CLIENT004,KO,2724136,72.62
CLIENT005,PG,878620,135.03
CLIENT005,PEP,738076,171.03
CLIENT005,IWM,452623,181.41
CLIENT005,SPY,144584,579.21
CLIENT005,TSLA,173875,296.61
CLIENT005,QQQ,210247,533.61
CLIENT005,AAPL,223740,230.53
CLIENT005,BTC-USD,1132,43428.4
CLIENT005,AMZN,28903,2832.82
CLIENT005,WFC,1452033,49.25
CLIENT005,BAC,800395,58.05
CLIENT005,NVDA,109240,577.1
CLIENT005,GOOGL,7003,2179.26
CLIENT005,JNJ,332862,122.45
CLIENT005,VNQ,73254,139.1
CLIENT005,C,4655099,67.8
CLIENT006,VTI,484247,313.83
CLIENT006,TLT,686912,126.46
CLIENT006,JNJ,327592,175.55
CLIENT006,C,900753,48.11
CLIENT006,JPM,965857,113.89
CLIENT006,BAC,392564,58.8
CLIENT006,MSFT,60946,410.64
CLIENT006,QQQ,1658558,411.33
CLIENT007,AAPL,286126,219.18
CLIENT007,ETH-USD,36444,4080.79
CLIENT007,PG,1209433,140.09
CLIENT007,MSFT,309439,339.8
CLIENT007,WFC,3526833,50.13
CLIENT007,TSLA,216079,265.15
CLIENT007,JPM,644366,192.17
CLIENT007,BTC-USD,1371,65862.22
CLIENT007,SPY,77672,549.52
CLIENT007,KO,1207781,48.47
CLIENT007,BAC,4632030,31.03
CLIENT007,GOOGL,19912,2125.23
CLIENT007,IEF,255978,84.3
CLIENT007,NVDA,113158,513.81
CLIENT007,USO,8942845,89.32
CLIENT008,BAC,774267,48.89
CLIENT008,NVDA,233250,489.94
CLIENT008,TLT,561985,124.44
CLIENT008,AAPL,346536,199.39
CLIENT008,C,456473,35.65
CLIENT008,VTI,274496,161.3
CLIENT008,ETH-USD,13122,4025.81
CLIENT008,MSFT,106319,241.59
CLIENT008,IEF,637922,96.18
CLIENT008,BTC-USD,578,70757.0
CLIENT008,PEP,296634,214.0
CLIENT008,SPY,134062,329.75
CLIENT008,ETH-USD,5182,2779.24
CLIENT008,JNJ,77614,159.65
CLIENT008,TSLA,216456,200.89
CLIENT008,GLD,87457,209.86
CLIENT008,SLV,1205132,23.23
CLIENT008,WFC,209329,37.9
CLIENT008,QQQ,72767,431.48
CLIENT008,PG,1002020,183.49
CLIENT009,IEF,1122506,121.04
CLIENT009,SPY,363072,434.56
CLIENT009,NVDA,87517,378.35
CLIENT009,TLT,990751,74.41
CLIENT009,MSFT,239485,342.53
CLIENT009,USO,1493101,100.06
CLIENT009,PG,203756,131.03
CLIENT009,BAC,2205198,49.91
CLIENT009,AMZN,29213,3779.16
CLIENT009,AAPL,109149,166.33
CLIENT009,WFC,542462,57.03
CLIENT009,GLD,266908,214.61
CLIENT009,VNQ,672456,95.49
CLIENT009,JPM,186236,209.28
CLIENT009,TSLA,110958,321.83
CLIENT009,C,671224,58.45
CLIENT009,VTI,82364,254.61
CLIENT009,QQQ,1293114,290.35
CLIENT010,ETH-USD,29276,3306.99
CLIENT010,C,2380922,46.06
CLIENT010,TLT,105927,136.6
CLIENT010,PEP,492758,167.93
CLIENT010,BAC,1422222,53.4
CLIENT010,IEF,557840,114.66
CLIENT010,USO,270724,104.81
CLIENT010,JPM,446592,111.89
CLIENT010,GLD,228291,180.01
CLIENT010,QQQ,878442,349.44
CLIENT011,ETH-USD,27287,3730.41
CLIENT011,SPY,222107,509.67
CLIENT011,VNQ,1601056,85.15
CLIENT011,USO,581881,94.05
CLIENT011,PEP,196223,194.79
CLIENT011,GOOGL,12675,2010.4
CLIENT011,AMZN,17229,3082.43
CLIENT011,C,2399971,39.67
CLIENT011,KO,1128791,73.5
CLIENT011,QQQ,57373,367.77
CLIENT011,TLT,333746,126.75
CLIENT011,WFC,490470,60.27
CLIENT011,BAC,1159288,24.38
CLIENT011,MSFT,152692,398.47
CLIENT011,SLV,15696779,22.74
CLIENT012,USO,1942990,63.08
CLIENT012,JNJ,852216,164.84
CLIENT012,PG,444225,172.04
CLIENT012,QQQ,397409,284.97
CLIENT012,NVDA,174185,491.17
CLIENT012,AAPL,197123,186.98
CLIENT012,IEF,169375,136.6
CLIENT012,GOOGL,29601,2699.09
CLIENT012,BTC-USD,2532,40060.11
CLIENT012,KO,1218700,59.74
CLIENT012,JPM,503580,151.45
CLIENT012,SPY,49746,573.56
CLIENT012,BAC,835028,54.73
CLIENT012,GLD,61233,155.11
CLIENT012,TLT,116576,125.82
CLIENT012,TSLA,215787,222.74
CLIENT012,VTI,107791,207.72
CLIENT012,IWM,152644,266.97
CLIENT012,ETH-USD,6502,3319.79
CLIENT012,SLV,10782717,20.41
CLIENT013,SPY,198414,364.15
CLIENT013,JNJ,351924,133.63
CLIENT013,SLV,1571999,34.53
CLIENT013,TSLA,482544,212.43
CLIENT013,WFC,821035,69.71
CLIENT013,GOOGL,32647,2402.72
CLIENT013,GLD,106283,194.31
CLIENT013,ETH-USD,179042,2555.81
CLIENT014,PG,297603,186.76
CLIENT014,WFC,802020,64.44
CLIENT014,ETH-USD,23941,2816.5
CLIENT014,BTC-USD,375,81137.68
CLIENT014,BAC,487718,46.73
CLIENT014,KO,837202,57.47
CLIENT014,C,409431,36.44
CLIENT014,TLT,239814,133.77
CLIENT014,NVDA,46582,643.24
CLIENT014,MSFT,79642,268.75
CLIENT014,AAPL,222823,224.52
CLIENT014,IEF,526265,77.0
CLIENT014,GOOGL,10319,3103.86
CLIENT014,QQQ,88189,422.69
CLIENT014,JPM,147272,125.39
CLIENT014,JNJ,38719,194.72
CLIENT014,PEP,68430,207.9
CLIENT014,VTI,1073369,163.52
CLIENT015,BTC-USD,1273,71675.48
CLIENT015,IWM,326944,177.05
CLIENT015,GLD,351061,208.29
CLIENT015,SLV,1585934,27.21
CLIENT015,SPY,57963,528.74
CLIENT015,IEF,321488,125.48
CLIENT015,JPM,105695,126.54
CLIENT015,AAPL,55112,212.34
CLIENT015,TSLA,140893,177.91
CLIENT015,PG,257547,116.23
